Host,Formula,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature (K) ,Seebeck Coefficient (µV/K),Resistivity(Ω*m),Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,364.9104,-8.27,99.0788,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,,Al,0.03,Ga,394.8831,-7.26,104.3296,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,18.0992,-0.94,26.557,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,42.3107,-2.50,31.0037,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,61.3639,-5.49,33.8957,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,87.6258,-9.19,37.5528,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,109.3139,-12.74,40.7468,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,132.9534,-16.15,44.9153,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,160.5038,-19.47,51.3582,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,195.1742,-21.45,63.091,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,228.4652,-21.73,75.372,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,242.1062,-20.30,78.5232,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,248.6377,-20.44,79.7476,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,285.6889,-17.16,87.9121,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,320.8074,-14.45,102.2325,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,351.352,-11.59,119.8325,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,374.7251,-8.88,132.8803,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,,Al,0.05,Ga,396.8923,-8.45,139.5222,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,20.6721,-0.09,45.3493,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,39.6841,-2.12,47.2333,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,55.4664,-4.92,48.8285,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,75.8639,-8.81,51.1011,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,92.9885,-12.46,53.3345,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,106.8298,-15.64,55.448,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,126.6037,-20.19,59.0852,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,150.2783,-24.41,64.6401,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,184.3787,-28.29,74.5738,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,213.8351,-30.42,82.1825,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,246.3807,-28.56,89.9564,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,266.4664,-25.28,96.4922,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,301.5332,-21.38,110.948,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,332.6891,-17.58,125.4903,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,357.361,-14.72,139.2312,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,377.4694,-11.96,148.193,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,,Al,0.1,Ga,398.9737,-11.30,149.7019,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
