Unnamed: 0,sid,DOI,published,projectname,sampleid,samplename,composition,comments,sampleinfo,Temperature,Seebeck coefficient,figureid,Thermal conductivity,Electrical resistivity,Carrier mobility,ZT,Electrical conductivity,Power factor,Hall mobility,Figure of merit Z,Hall movility,Lattice thermal conductivity,thermopower,phonon thermal conductance,Carrier thermal conductivity,phonon contribution,Electronic thermal conductivity,Electronic contribution,hall density,Carrier concentration,Hall coefficient,Calculated Electrical Conductivity,Calculated PF,Figure of merit,Calculated Electrical Conductivity/ Relaxation time,Calculated Seebeck coefficient,Calculated Thermal Conductivity/ Relaxation time,Thermal diffusivity,total thermal conductivity,Lattice contribution,latice contribution,electron thermal conductivity,Figure of merit Zt,Electro Motive Force,Mobility,Nernst coefficient,Electrical conductivity0,Thermopower,Thermoelectric voltage,Thermo gravimetry,Thermal conductance,conductance,TEP,T^(-1),S,Seebeck  coefficient ,Voltage,Max Efficiency,Normalised PL Integrated Intensity,Linewidth,Phonon transmission function,ρ,Lorenz values,magnetoresistance,Resistance,Conductivity,Luminescence lifetime,magnetization_Bohr,inverse susceptibility,Elastic modulus,Coercivity Field,magnetization_per_weight,Resistivity,Remanent Magnetization_Absolute,absolute_magnetization,Open circuit voltage ,Hall concentration,Contact resistivity,Magnetic field strength (H),Magnetization,a.u. Magnetic Moment,conductivity,zero-B thermopower,minority carrier concentration,majority carrier concentration,magnetic susceptibility,Magnetic susceptibility_per_weight,Specific heat,Magnetic susceptibility_volume,inverse magnetic susceptibility_mol,Cp,dc magnetization(mass),Calculated Electrical resistivity,Electrical thermal conductivity,Specific heat capacity,Magnetic susceptibility_per mol,Magnetic susceptibility,Specific heat capacity_per g,Seebeck  coefficient,Mass susceptibility,Inverse magnetic susceptibility,Liquid state thermal conductivity,Lattice+bipolar thermal conductivity,Logρ,ln σ,logσ,Lnρ
26868,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,250,-7.570607394804117e-06,1906,6.010459110157898,1.796728661343138e-06,,,,,,,,2.5827437054810223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26869,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,300,-9.517717049266096e-06,1906,,1.869446963860976e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26870,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2864,x=0.2,Co2Mn0.8Ti0.2Sn,,,350,-1.1280766518913138e-05,1906,,1.9523259589931612e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26872,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,100,-3.810296390225435e-06,1906,4.661587592006608,3.887084512297501e-06,,,,,,,,4.039425374632677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26873,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,150,-6.967002770440486e-06,1906,4.23565888719626,4.13295073527493e-06,,,,,,,,3.3312020097946116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26874,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,200,-1.1783579821601338e-05,1906,4.372147254663211,4.461386749475217e-06,,,,,,,,3.2473870209788545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26875,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,250,-2.0472653379874408e-05,1906,4.3001316626052315,4.926336620823119e-06,,,,,,,,3.0526666823315627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26876,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,300,-3.468157077400728e-05,1906,,5.5215814542191e-06,,,,,,,,3.2054345923879493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26877,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2865,x=0.4,Co2Mn0.6Ti0.4Sn,,,350,-4.941983928772619e-05,1906,,6.072147440052999e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26878,15949,10.1103/physrevb.82.104420,2010-9-17,['ThermoelectricMaterials'],2866,x=0.6,Co2Mn0.4Ti0.6Sn,,,50,8.690234080040535e-08,1906,3.3717891036864565,3.6264090999727e-06,,,,,,,,2.9992837309217766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
