Host,Composition,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature,Seebeck Coefficient,Electrical Resistivity,Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,X2YZ,Al,0.03,Ga,340.1848,-9.8849,9.08E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,X2YZ,Al,0.03,Ga,364.9104,-8.2651,9.91E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.97Al0.03,X2YZ,Al,0.03,Ga,394.8831,-7.2612,1.04E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,18.0992,-0.9424,2.66E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,42.3107,-2.5031,3.10E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,61.3639,-5.4891,3.39E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,87.6258,-9.1854,3.76E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,109.3139,-12.7404,4.07E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,132.9534,-16.1525,4.49E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,160.5038,-19.4687,5.14E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,195.1742,-21.4542,6.31E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,228.4652,-21.7311,7.54E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,242.1062,-20.3038,7.85E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,248.6377,-20.4446,7.97E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,285.6889,-17.1605,8.79E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,320.8074,-14.4465,1.02E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,351.3520,-11.5911,1.20E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,374.7251,-8.8799,1.33E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.95Al0.05,X2YZ,Al,0.05,Ga,396.8923,-8.4474,1.40E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,20.6721,-0.0873,4.53E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,39.6841,-2.1240,4.72E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,55.4664,-4.9209,4.88E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,75.8639,-8.8084,5.11E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,92.9885,-12.4594,5.33E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,106.8298,-15.6365,5.54E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,126.6037,-20.1888,5.91E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,150.2783,-24.4079,6.46E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,184.3787,-28.2922,7.46E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,213.8351,-30.4212,8.22E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,246.3807,-28.5623,9.00E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,266.4664,-25.2822,9.65E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,301.5332,-21.3814,1.11E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,332.6891,-17.5766,1.25E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,357.3610,-14.7226,1.39E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,377.4694,-11.9647,1.48E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.90Al0.10,X2YZ,Al,0.1,Ga,398.9737,-11.2950,1.50E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,22.6751,-1.1312,6.97E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,38.4286,-3.2635,7.11E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,59.4683,-6.9136,7.34E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,75.9424,-10.6122,7.55E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,95.6915,-14.5949,7.84E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,113.4645,-18.1508,8.13E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,135.1649,-21.9906,8.51E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,162.7319,-25.6865,9.06E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,187.6083,-27.5319,9.59E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,205.2470,-28.0024,9.98E-06,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,233.2125,-25.8597,1.06E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,258.5225,-22.6733,1.13E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
Ni2MnGa,Ni2MnGa0.85Al0.15,X2YZ,Al,0.15,Ga,292.9472,-19.0101,1.24E-05,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
